CRV,spk\spk,spk\spk,ph\ph,ph\ph,ph\spk,ph\spk,spk\ph,spk\ph
Correlated with,speaker probing accuracy,phone probing accuracy (across-speaker),speaker probing accuracy,phone probing accuracy (across-speaker),speaker probing accuracy,phone probing accuracy (across-speaker),speaker probing accuracy,phone probing accuracy (across-speaker)
Hubert,-0.12,-0.13,-0.73*,0.93*,-0.46,0.7*,0.11,0.08
Wav2Vec2,0.67*,0.18,-0.36,0.81*,-0.38,0.78*,0.45,0.31
WavLMPlus,-0.12,0.02,-0.75*,0.9*,-0.67*,0.54*,0.33,-0.43
WavLM,-0.03,-0.16,-0.71*,0.91*,-0.66*,0.77*,0.12,-0.06
Data2Vec,0.68*,-0.33,-0.47,0.69*,-0.68*,0.7*,0.07,0.12
CPC,-0.7,-0.1,-0.3,0.9*,0.1,1.0*,0.1,1.0*
CPC-Rand,-0.1,0.0,-0.7,-0.9*,-0.6,-0.7,-0.4,-0.3
Hubert-Rand,0.99*,-0.99*,0.2,-0.2,1.0*,-1.0*,1.0*,-1.0*
All,0.53*,0.48*,0.06,0.94*,0.25*,0.76*,0.66*,0.43*
All (Excluding Rand),0.17,0.04,-0.62*,0.88*,-0.27*,0.54*,0.43*,-0.07
