IsoScore type,speaker centroids,phone centroids,frame representations,frame representations
Correlated with,speaker probing accuracy,phone probing accuracy (across-speaker),speaker probing accuracy,phone probing accuracy (across-speaker)
Hubert,-0.88*,0.69*,-0.86*,0.62*
Wav2Vec2,0.8*,-0.44,0.51,0.26
WavLMPlus,-0.18,0.24,-0.52,0.33
WavLM,-0.77*,0.82*,-0.82*,0.79*
Data2Vec,0.49,-0.09,0.3,-0.14
CPC,-0.7,0.0,-0.4,0.8
CPC-Rand,0.3,0.6,0.6,0.8
Wav2Vec2-Rand,0.51,-0.96*,0.73*,-0.73*
All,0.48*,0.52*,0.19,0.52*
All (excluding rand),0.1,0.12,-0.14,0.42*
