Model and layer,speaker error rate,phone error rate (shared speakers),phone error rate (across-speaker),speaker probing accuracy,phone probing accuracy (shared speaker),phone probing accuracy (across-speaker),ABX Within,ABX Across,Isoscore of frame representations,Isoscore of frame representations projected to speaker subspace,Isoscore of frame representations projected to phonetic subspace,self-CRV(spk),CRV(ph\spk),CRV(spk\ph),self-CRV(ph),Isoscore of phone centroids,Isoscore of speaker centroids
Logmel,0.964878,0.592128,0.597305,0.035122,0.407872,0.402695,?,?,0.0314,?,?,0.113978,0.369096,0.540948,0.294294,?,?
,,,,,,,,,,,,,,,,,
Hubert_0,0.0835907224,0.3666945447,0.3998164463,0.9164092776,0.6333054553,0.6001835537,0.0764329806,0.1374743134,0.0825,0.0272,0.0254,0.4517774558,0.8526666233,0.9081506799,0.4187178048,0.006716322507982510,0.01221461258229320
Hubert_1,0.01784472193,0.3170046537,0.3397584036,0.9821552781,0.6829953463,0.6602415964,0.06668266654,0.1015084088,0.1035,0.0255,0.0257,0.4534200327,0.9337133879,0.9637372615,0.4321166271,0.008299329203510370,0.012691319329261600
Hubert_2,0.00733041303,0.2955226723,0.3165930109,0.992669587,0.7044773277,0.6834069891,0.06082583964,0.08969490975,0.1003,0.0234,0.0248,0.4625545618,0.9136192618,0.9528004909,0.4379826777,0.009207660588272880,0.0161053146809038
Hubert_3,0.02901526945,0.2673085522,0.283952276,0.9709847305,0.7326914478,0.716047724,0.05685878173,0.07924123853,0.1046,0.0236,0.0257,0.4679517984,0.891601213,0.9387805385,0.445589311,0.010677162511367800,0.019037177977227300
Hubert_4,0.04982031069,0.2405269782,0.2548234535,0.9501796893,0.7594730218,0.7451765465,0.05317520723,0.07141915709,0.105,0.0235,0.0263,0.4684739275,0.8870266616,0.9304507508,0.4517114651,0.012196138455922600,0.019374061037782800
Hubert_5,0.1216297903,0.1957723328,0.2099044611,0.8783702097,0.8042276672,0.7900955389,0.04380495846,0.05680241436,0.121,0.0249,0.0263,0.4673612931,0.8989119921,0.9271936045,0.4600740364,0.015023720865941200,0.01866916593217920
Hubert_6,0.1922261601,0.1698415919,0.1813998867,0.8077738399,0.8301584081,0.8186001133,0.03947188333,0.04884496331,0.1349,0.0275,0.0268,0.4669487149,0.9104472378,0.9256839833,0.465546595,0.017617169825905200,0.018419844418609600
Hubert_7,0.2828636845,0.1535556954,0.1656365884,0.7171363155,0.8464443046,0.8343634116,0.03618462384,0.04285564274,0.1553,0.03,0.0276,0.4664593683,0.9270586486,0.9336433352,0.4689070076,0.01966207306828900,0.018132083445533500
Hubert_8,0.3215527806,0.1470140108,0.158674775,0.6784472194,0.8529859892,0.841325225,0.03863652423,0.04538144916,0.1635,0.0299,0.0274,0.4646045906,0.9324251413,0.9380054629,0.4685290438,0.019410274946788200,0.01711361280619090
Hubert_9,0.2918543606,0.1449190156,0.1575854414,0.7081456394,0.8550809844,0.8424145586,0.03949439153,0.04701693729,0.1587,0.029,0.0273,0.4629802383,0.9348194013,0.9406202501,0.4665183809,0.018166339900263600,0.016305495300892000
Hubert_10,0.2373368719,0.1374933755,0.1507972599,0.7626631281,0.8625066245,0.8492027401,0.03471379727,0.04150700197,0.1493,0.0283,0.0281,0.4563663449,0.9434686771,0.9434597175,0.4688117419,0.019598032122062600,0.013636321619169400
Hubert_11,0.2196784638,0.1345253184,0.1460554547,0.7803215362,0.8654746816,0.8539445453,0.03063130379,0.03699376062,0.1592,0.0277,0.028,0.4579014055,0.9507569145,0.9472940936,0.4710491472,0.021213383526769200,0.014181089126249200
Hubert_12,0.03376006094,0.1478586334,0.1574634856,0.9662399391,0.8521413666,0.8425365144,0.03382537141,0.04086729512,0.075,0.0204,0.0249,0.4498332031,0.9167808511,0.9102945177,0.4673378532,0.01865483244118250,0.011690697242423400
,,,,,,,,,,,,,,,,,
Wav2Vec2_0,0.1151108774,0.3250989533,0.3537647122,0.8848891226,0.6749010467,0.6462352878,0.07182909548,0.1114863902,0.1236,0.0309,0.0286,0.4537920733,0.8941412647,0.9239450643,0.439595398,0.009488301468589530,0.01280400000915060
Wav2Vec2_1,0.02933614322,0.2944689643,0.3150406588,0.9706638568,0.7055310357,0.6849593412,0.06560692191,0.09428881109,0.1244,0.0281,0.0277,0.4641178634,0.9054306546,0.942013584,0.4445538276,0.01045341291954190,0.01686378819513610
Wav2Vec2_2,0.0393411944,0.2513352489,0.2704379245,0.9606588056,0.7486647511,0.7295620755,0.05669685453,0.07804498821,0.1333,0.0254,0.0265,0.4703223673,0.893786766,0.9352888991,0.4515260444,0.012144499140540200,0.020661957700897800
Wav2Vec2_3,0.05138327647,0.2243756417,0.2402259695,0.9486167235,0.7756243583,0.7597740305,0.05053506792,0.06700283289,0.1309,0.0255,0.0268,0.4739791533,0.8965931407,0.9356816286,0.4577589366,0.014128862439123300,0.023748865561597700
Wav2Vec2_4,0.08987777815,0.1861895929,0.1997428594,0.9101222219,0.8138104071,0.8002571406,0.04283445328,0.05311453715,0.1329,0.0256,0.026,0.4739358414,0.9070382594,0.9338380799,0.4636493277,0.01662962058308210,0.02370723456823750
Wav2Vec2_5,0.2543493922,0.1582508032,0.171372643,0.7456506078,0.8417491968,0.828627357,0.03545697406,0.04269237444,0.1557,0.0274,0.0256,0.4724917256,0.9213716403,0.9363171301,0.4675044951,0.018757183190832900,0.022394219327517000
Wav2Vec2_6,0.3218384618,0.1491731807,0.1641710523,0.6781615382,0.8508268193,0.8358289477,0.03637541458,0.04187518731,0.1636,0.0265,0.0242,0.4716401141,0.9336561287,0.947700866,0.4669884259,0.018443570755716100,0.02168259877333800
Wav2Vec2_7,0.352470521,0.145086698,0.1603511499,0.647529479,0.854913302,0.8396488501,0.04644011334,0.05084348097,0.16,0.0243,0.0229,0.4687688561,0.9455390346,0.9567369735,0.4647661369,0.01719805599711050,0.019569330333330400
Wav2Vec2_8,0.433409377,0.143722467,0.1595201971,0.566590623,0.856277533,0.8404798029,0.05145351589,0.05795898288,0.1326,0.0189,0.0227,0.465281193,0.9420595354,0.9500495652,0.4640290316,0.016818922649365500,0.017472531980541700
Wav2Vec2_9,0.4858774138,0.140064506,0.1530854807,0.5141225862,0.859935494,0.8469145193,0.04687844589,0.05244945362,0.0799,0.0148,0.0217,0.4541338693,0.9322708643,0.9261073485,0.466091869,0.017921435973245700,0.012909131623392100
Wav2Vec2_10,0.6248157564,0.1507920407,0.1585300817,0.3751842436,0.8492079593,0.8414699183,0.0549697578,0.06371511519,0.0433,0.0097,0.0186,0.4196041395,0.9285318931,0.8907268967,0.4638747886,0.01674154458892190,0.006804741105787040
Wav2Vec2_11,0.8931573151,0.2736742738,0.2737638027,0.1068426849,0.7263257262,0.7262361973,0.08856942505,0.1096670181,0.0233,0.0076,0.0131,0.3851226871,0.9259048432,0.8322242525,0.4628312621,0.016234915542597500,0.0043708978233726800
Wav2Vec2_12,0.678712199,0.2738854294,0.2778317507,0.321287801,0.7261145706,0.7221682493,0.07740259171,0.09157928824,0.0106,0.0067,0.0089,0.3521222071,0.8313942482,0.6518744257,0.4539890292,0.012864390141549500,0.003104535100447260
,,,,,,,,,,,,,,,,,
WavLMPlus_0,0.05140397801,0.3875347786,0.4197303744,0.948596022,0.6124652214,0.5802696256,0.08382444084,0.1447392702,0.0738,0.0285,0.024,0.4489980421,0.8708048872,0.929096846,0.4099692722,0.00593698779300374,0.011477911808308700
WavLMPlus_1,0.006030356729,0.3442830645,0.3710741615,0.9939696433,0.6557169355,0.6289258385,0.06569061428,0.1062911153,0.0853,0.0212,0.0226,0.4535779521,0.9142488548,0.9577668293,0.4251825918,0.0074093191196558300,0.012738928076655400
WavLMPlus_2,0.01088486635,0.2968620615,0.3175376513,0.9891151336,0.7031379385,0.6824623487,0.05665300041,0.08283211291,0.0794,0.0185,0.0202,0.4626219923,0.8690033247,0.9369282995,0.4326129693,0.008370061277905400,0.016136720941752700
WavLMPlus_3,0.03360479944,0.2526704978,0.2689599861,0.9663952006,0.7473295022,0.7310400139,0.0459898524,0.06586640328,0.0871,0.0174,0.0203,0.4643989294,0.8643139553,0.9233803663,0.44295215,0.010123317757812400,0.017007218765705900
WavLMPlus_4,0.07040384552,0.2089426485,0.2223708199,0.9295961545,0.7910573515,0.7776291801,0.04022695497,0.05263219774,0.1012,0.0179,0.0201,0.4688376584,0.8658591978,0.9191315752,0.4507044876,0.011920370860615000,0.019615415359577100
WavLMPlus_5,0.08818025239,0.1890712464,0.201320016,0.9118197476,0.8109287536,0.798679984,0.03585242853,0.04548057541,0.1051,0.0179,0.0205,0.470944584,0.8793840484,0.9218711624,0.4564324613,0.013658994118182100,0.02113234986312150
WavLMPlus_6,0.2315176708,0.1653845517,0.1769929431,0.7684823292,0.8346154483,0.8230070569,0.03266646713,0.03931812197,0.1189,0.0201,0.0219,0.4693527803,0.903398078,0.9247075307,0.463353131,0.016484674772148000,0.019967027348918400
WavLMPlus_7,0.3291191911,0.1515269451,0.1634145131,0.6708808089,0.8484730549,0.8365854869,0.03316893801,0.03873182461,0.1299,0.0214,0.0224,0.4667580026,0.9166810385,0.9232266036,0.4673759411,0.018678133654414500,0.018306688236091600
WavLMPlus_8,0.4230855222,0.1482416117,0.1601568475,0.5769144778,0.8517583883,0.8398431525,0.03454551101,0.04085692018,0.1249,0.0231,0.0229,0.4640088043,0.9177355202,0.9215142531,0.466784954,0.018322600610996100,0.016808737586627200
WavLMPlus_9,0.382438061,0.1451177503,0.1570893502,0.617561939,0.8548822497,0.8429106498,0.03996087611,0.0468544811,0.1321,0.0247,0.0249,0.4627241657,0.9359464708,0.9377780967,0.4670442953,0.018477048187183200,0.016184525488544300
WavLMPlus_10,0.3439684012,0.1383317876,0.1503859176,0.6560315988,0.8616682124,0.8496140824,0.03826215491,0.04400106147,0.1342,0.026,0.0258,0.4613752209,0.9426807061,0.9416754013,0.468115182,0.019141408644709800,0.0155737584041884
WavLMPlus_11,0.3939067106,0.1307819383,0.1396434758,0.6060932894,0.8692180617,0.8603565242,0.0383069925,0.0460790582,0.0788,0.0075,0.0134,0.4550017625,0.9016093726,0.9042873667,0.4640891845,0.01684927933266480,0.013183259719463500
WavLMPlus_12,0.1567706436,0.1363547912,0.1435646634,0.8432293564,0.8636452088,0.8564353366,0.03269165382,0.03797454014,0.0779,0.0259,0.0268,0.4558476744,0.8811450943,0.8645388345,0.4694875076,0.02006094809750570,0.013460815923895700
,,,,,,,,,,,,,,,,,
